Date,art,hype,gf_index,spy
2023-04-21,152.11917708374492,85.04457996186386,63.5143,412.2
2023-04-22,146.21601622710827,83.51139152476276,65.3143,412.2
2023-04-23,150.89596899177724,82.71119856881151,65.3143,412.2
2023-04-24,145.41623335260886,82.53770430020683,63.4857,412.63
2023-04-25,152.37314160222172,82.6611832121267,57.0571,406.08
2023-04-26,154.26784984811306,83.53625187754724,52.4,404.36
2023-04-27,156.52793577156743,84.16993047321903,58.3143,412.41
2023-04-28,157.21684623857035,84.15534497060398,59.4286,415.93
2023-04-29,163.3634072471303,83.78659836309279,59.4286,415.93
2023-04-30,142.8164706411134,83.12068061786701,59.4286,415.93
2023-05-01,146.98561975573662,83.0588019654428,59.4286,415.51
2023-05-02,143.94808414499818,83.09940931507661,55.5143,410.84
2023-05-03,145.35275895333606,83.3725965841876,54.6286,408.02
2023-05-04,147.81826881405465,83.57538526216514,49.6,405.13
2023-05-05,155.38730024327342,83.89477214992436,53.8857,412.63
2023-05-06,155.24496969216452,83.55037175734367,53.8857,412.63
2023-05-07,160.7447903715476,82.76251316422534,53.8857,412.63
2023-05-08,162.4968052794896,81.64450878392276,57.1429,412.74
2023-05-09,160.98860421034487,80.20370475430067,59.5714,410.93
2023-05-10,166.86422270672554,78.61880160959274,59.9714,412.85
2023-05-11,154.08097738753736,77.29974452365548,59.0571,412.13
2023-05-12,158.58704049256352,76.21558372873132,57.3429,411.59
2023-05-13,159.63897792348996,75.49503695968404,57.3429,411.59
2023-05-14,164.17164391197917,75.64900287727346,57.3429,411.59
2023-05-15,166.01473712149806,76.59761309409609,57.2571,413.01
2023-05-16,183.03487345887942,77.30338481477567,55.2857,410.25
2023-05-17,180.30864743138818,77.87942145642559,60.2571,415.23
2023-05-18,180.52722709949427,78.01233583208943,64.9143,419.23
2023-05-19,179.22284965398052,78.06962935196881,65.4571,418.62
2023-05-20,186.06131793534178,77.9826936638391,65.4571,418.62
2023-05-21,184.51853174549305,78.00084779856789,65.4571,418.62
2023-05-22,183.71316888115243,77.86752481133271,67.8571,418.79
2023-05-23,187.73259351019811,77.98531482652648,65.8,414.09
2023-05-24,189.1874156103558,78.09232112848292,61.8286,411.09
2023-05-25,183.28373468946728,78.00747989264187,62.6857,414.65
2023-05-26,183.2464095589006,77.9049394422339,65.7143,420.02
2023-05-27,183.6229417619091,78.0252744232631,65.7143,420.02
2023-05-28,184.69989401565834,78.01619575019146,65.7143,420.02
2023-05-29,187.83191088667974,77.88484366748683,65.7143,420.02
2023-05-30,189.0547508285593,77.91113857172924,66.0857,420.18
2023-05-31,191.33977550269825,78.07744099951998,64.1714,417.85
2023-06-01,192.35877781504388,78.27736490726491,68.0571,421.82
2023-06-02,192.83431485319042,78.77533044148198,75.4286,427.92
2023-06-03,195.0417488963536,79.64320162974022,75.4286,427.92
2023-06-04,199.6041102702352,80.50137945598873,75.4286,427.92
2023-06-05,201.80105758662827,81.37471215097959,69.4857,427.1
2023-06-06,204.5329943274597,82.16684721202864,73.5143,428.03
2023-06-07,201.0054617955544,82.61010080080102,74.4571,426.55
2023-06-08,196.87056645585622,82.62392139208463,75.7714,429.13
2023-06-09,194.7860047144407,82.65862139647813,76.9714,429.9
2023-06-10,194.03380199549164,82.25414229864009,76.9714,429.9
2023-06-11,193.26259108000494,81.68375779076624,76.9714,429.9
2023-06-12,195.36900883202065,81.21247295299138,78.0571,433.8
2023-06-13,201.66858520765498,80.80523339220407,79.6286,436.66
2023-06-14,202.4391526961632,80.18295782607449,79.6286,437.18
2023-06-15,199.94390086460945,79.83214656941674,80.8857,442.6
2023-06-16,199.08861572853675,79.57689396746039,81.2571,439.46
2023-06-17,198.05573905824272,79.19615712388023,81.2571,439.46
2023-06-18,191.91951215087545,78.72023378940875,81.2571,439.46
2023-06-19,190.34532093112367,78.15216452828035,81.2571,439.46
2023-06-20,190.11763234224654,77.57788581172773,80.1143,437.18
2023-06-21,191.28492807980942,76.6117897905691,80.1143,434.94
2023-06-22,190.31916098778893,75.38067518445257,80.0571,436.51
2023-06-23,189.24685518377342,73.80147623075689,75.7143,433.21
2023-06-24,189.3307057737374,71.74140494952273,75.7143,433.21
2023-06-25,197.7063035559988,70.42218237471111,75.7143,433.21
2023-06-26,206.07329444450912,69.23798512257903,73.4571,431.44
2023-06-27,210.80441071520414,67.43874560646447,75.4857,436.17
2023-06-28,216.41812140199016,65.80801253206845,76.5143,436.39
2023-06-29,219.83582863682508,65.0480996666883,79.2,438.11
2023-06-30,215.91573276352074,63.0398241664581,79.4857,443.28
2023-07-01,211.0038493158445,60.427723944715765,79.4857,443.28
2023-07-02,210.10552644433847,57.83626437104037,79.4857,443.28
2023-07-03,208.74691471749014,54.96297269223537,82.2286,443.79
2023-07-04,207.7004607866325,52.7888018502184,79.7143,443.79
2023-07-05,208.71291847684955,51.40379073223962,79.2571,443.13
2023-07-06,209.2617483763308,50.53129900359925,77.9143,439.66
2023-07-07,210.1510972734705,51.67747224587133,77.6857,438.55
2023-07-08,206.7355932050428,53.84124963115248,77.6857,438.55
2023-07-09,206.23846190065098,55.00545416985515,77.6857,438.55
2023-07-10,200.63520759229667,55.8543001923811,76.6857,439.66
2023-07-11,194.70224565640154,57.09770637360741,78.2857,442.46
2023-07-12,188.15941652482337,57.447143058870225,78.1714,446.02
2023-07-13,190.1339195737357,57.35998334573851,79.4,449.56
2023-07-14,189.4084527613682,57.04632836997034,79.8,449.28
2023-07-15,189.72981549809322,56.934610562948784,79.8,449.28
2023-07-16,189.08863692031704,56.574560209089256,79.8,449.28
2023-07-17,188.49662503900066,55.82119900792967,80.0286,450.84
2023-07-18,181.94124210663128,54.995747646033884,81.6857,454.19
2023-07-19,175.52259398542776,54.42972410601343,82.3429,455.2
2023-07-20,175.23278399207925,53.91483286607321,80.8571,452.18
2023-07-21,179.37449933704357,53.40931152858273,81.0286,452.18
2023-07-22,180.2203587841502,53.30632066169553,81.0286,452.18
2023-07-23,179.2406438916334,52.98380543726607,81.0286,452.18
2023-07-24,184.71283757781387,52.65583079492219,82.5143,454.2
2023-07-25,182.82690489104067,51.880961556105696,81.2286,455.44
2023-07-26,176.91482395352637,51.18383468858531,80.6,455.51
2023-07-27,173.98373772648415,50.52492660218637,77.6571,452.49
2023-07-28,178.498764852771,50.08809468213762,76.9143,456.92
2023-07-29,172.92605596118293,49.66281299865448,76.9143,456.92
2023-07-30,175.32838229325571,49.61384552025033,76.9143,456.92
2023-07-31,177.01077947924804,49.4499396928634,77.6286,457.79
2023-08-01,181.8988722129556,49.349855716964456,77.3429,456.48
2023-08-02,178.20557920274229,49.23212698518414,77.3429,450.13
2023-08-03,180.52811871467117,49.256768259505705,73.6286,448.84
2023-08-04,171.09316358995954,49.269689371063706,64.5,446.81
2023-08-05,170.79890675426665,49.59108536303722,64.5,446.81
2023-08-06,165.968592362942,49.4940774525317,64.5,446.81
2023-08-07,169.5131298744978,49.588842466174604,72.0571,450.71
2023-08-08,171.93448431480735,49.91014713603892,69.2,448.75
2023-08-09,178.7296538544196,50.24972020085577,67.3143,445.75
2023-08-10,179.03163176233934,49.71877427697291,66.3429,445.91
2023-08-11,181.49386953852633,49.69197019759596,65.0286,445.65
2023-08-12,183.89235396936448,49.0684936076157,65.0286,445.65
2023-08-13,181.33833806431795,48.12451080944073,65.0286,445.65
2023-08-14,177.29275446966423,46.881059001588326,66.2857,448.11
2023-08-15,169.78186607906432,46.31992159856965,54.5,442.89
2023-08-16,163.81714329675958,45.31231371388412,49.4857,439.64
2023-08-17,159.08831791925306,44.6478187870479,46.1429,436.29
2023-08-18,157.65090847143142,43.53516670616851,43.6571,436.5
2023-08-19,156.97459882862736,41.963372155431976,43.6571,436.5
2023-08-20,158.792956214903,40.29839489396191,43.6571,436.5
2023-08-21,156.27722683701106,38.58680966146396,43.4857,439.34
2023-08-22,149.9482707964577,36.99601799096319,43.4429,438.15
2023-08-23,142.99306380124565,36.19182770023093,50.1714,443.03
2023-08-24,140.73418426865533,35.96690710005455,40.5857,436.89
2023-08-25,138.61169944182137,36.30623874305293,47.0286,439.97
2023-08-26,138.80003338474253,37.33424935410066,47.0286,439.97
2023-08-27,138.81161842397665,38.80082208439887,47.0286,439.97
2023-08-28,139.18540541335574,39.4605331090638,45.2857,442.76
2023-08-29,137.6036198365992,40.42006783995088,49.1714,449.16
2023-08-30,137.2745220996858,41.02723909212881,50.4286,451.01
2023-08-31,137.12898428700746,41.656413414516194,52.9429,450.35
2023-09-01,143.46482634386564,41.64988980329981,55.0286,451.19
2023-09-02,151.19185017793103,41.84607602130471,55.0286,451.19
2023-09-03,151.833954113343,41.88727188817923,55.0286,451.19
2023-09-04,150.18241564157202,42.04479619452972,55.0286,451.19
2023-09-05,148.5252379108971,41.415783638362385,59.0857,449.24
2023-09-06,138.6156196028133,41.26914224361819,56.7143,446.22
2023-09-07,127.25009793468423,41.142014194966066,53.6286,444.85
2023-09-08,123.45365516687748,41.21291037126939,51.9143,445.52
2023-09-09,122.85887777966022,40.931373914116946,51.9143,445.52
2023-09-10,120.72647066958999,40.894888881314955,51.9143,445.52
2023-09-11,119.62780849330545,40.52402863526193,52.2,448.45
2023-09-12,119.94916457264807,40.196382500049374,51.4,445.99
2023-09-13,120.81952992892892,39.35264140747665,51.4,446.51
2023-09-14,117.49666046259344,38.24659061031127,54.4286,450.36
2023-09-15,117.86619338045293,37.33713880675206,52.0286,443.37
2023-09-16,117.74441324207939,36.77302676696463,52.0286,443.37
2023-09-17,117.90151794216501,36.321263178318034,52.0286,443.37
2023-09-18,116.56056787103178,36.09122223952725,49.4857,443.63
2023-09-19,117.5165414673211,36.51505493050407,49.9429,442.71
2023-09-20,116.50229998882007,36.81151194079361,48.2857,438.64
2023-09-21,124.50099671052058,36.65000673610865,37.1571,431.39
2023-09-22,129.78556206208518,36.47508855386438,33.1571,430.42
2023-09-23,132.6752825925421,36.39780698217835,33.1571,430.42
2023-09-24,134.49494977275026,36.42546422687062,33.1571,430.42
2023-09-25,139.23072208274434,36.3003347886905,38.4286,432.23
2023-09-26,134.0713200547082,36.14634965494871,24.2286,425.88
2023-09-27,129.14602473489342,36.2200820135872,22.8286,426.05
2023-09-28,129.5202641832339,36.208885701158195,29.0,428.52
2023-09-29,129.09997435783973,36.032400304043534,28.4,427.48
2023-09-30,125.82957508640698,36.092322257098495,28.4,427.48
2023-10-01,126.5434410883499,36.379732489023844,28.4,427.48
2023-10-02,129.92539025020344,36.78400274377347,28.3143,427.31
2023-10-03,128.74026673581707,37.25008193506759,20.5286,421.59
2023-10-04,129.85185369850205,37.662273152830586,20.9857,424.66
2023-10-05,131.13000940199368,38.16025404437459,20.3286,424.5
2023-10-06,131.2169606395775,38.73765661459394,27.7143,429.54
2023-10-07,128.98117084289532,38.81966986246856,27.7143,429.54
2023-10-08,129.30148698464123,38.89782024861053,27.7143,429.54
2023-10-09,129.14994678733962,38.841840906719064,29.2571,432.29
2023-10-10,129.70762658284582,38.65953112670784,32.3143,434.54
2023-10-11,129.6149882326606,38.28779532715226,34.3429,436.32
2023-10-12,130.7479444649287,38.09863556855919,35.6857,433.66
2023-10-13,130.89602972236722,37.99959033009759,26.2714,431.5
2023-10-14,134.44615451547125,37.66220814338579,26.2714,431.5
2023-10-15,137.65877952429724,37.29242422357596,26.2714,431.5
2023-10-16,138.11896628554086,37.28258874922799,35.7429,436.04
2023-10-17,138.10230084054575,37.48010416866775,39.1429,436.02
2023-10-18,140.08472394873576,37.564706248532524,30.5714,430.21
2023-10-19,138.10304181750178,37.759382382382896,29.5429,426.43
2023-10-20,136.4797027420076,38.16682659701489,22.8571,421.19
2023-10-21,136.37482452692774,38.451498260130926,22.8571,421.19
2023-10-22,138.23205880509857,38.88026678072731,22.8571,421.19
2023-10-23,137.5600411971571,39.18809622779848,25.8429,420.46
2023-10-24,139.10281132943274,39.965203596471625,33.4857,423.63
2023-10-25,152.30431977091456,40.21271872383038,25.2143,417.55
2023-10-26,165.86763858355303,40.3947128363654,22.7143,412.55
2023-10-27,176.91598467753875,40.66605984371875,21.6143,410.68
2023-10-28,191.87836226157557,41.244291977063604,21.6143,410.68
2023-10-29,202.55003924201924,41.490645774888236,21.6143,410.68
2023-10-30,201.76870576378465,42.275343591581205,29.2,415.59
2023-10-31,201.20677499131668,43.08191484323014,30.1429,418.2
2023-11-01,200.40665019864167,43.60890592743777,32.1714,422.66
2023-11-02,199.63651844498645,43.885377568779894,37.6857,430.76
2023-11-03,200.4284551685692,43.995245866047426,36.1143,434.69
2023-11-04,200.21546717713773,43.70309286196376,36.1143,434.69
2023-11-05,201.26880998724565,43.15094069429911,36.1143,434.69
2023-11-06,203.15173936940343,42.7247018817644,38.9143,435.69
2023-11-07,193.39983705076938,42.50216104758327,39.6286,436.93
2023-11-08,184.09644485119168,42.97373562122915,39.7714,437.25
2023-11-09,174.64320259700293,44.110221096903764,41.0,433.84
2023-11-10,171.18088063975046,45.15528610751967,41.4571,440.61
2023-11-11,166.1047389136434,46.2264272689169,41.4571,440.61
2023-11-12,171.5298040421668,46.75190958062111,41.4571,440.61
2023-11-13,179.35177283477336,46.88983925570397,39.8857,440.19
2023-11-14,183.6920653606725,46.2934604950748,46.6,448.73
2023-11-15,181.6394011743252,46.01416547504831,52.5429,449.68
2023-11-16,178.98974825374367,45.447214625362655,55.0571,450.23
2023-11-17,176.49672132633097,45.09851895079309,58.8571,450.79
2023-11-18,171.7271739857395,44.66657149068023,58.8571,450.79
2023-11-19,172.62909577368046,44.2332554923144,58.8571,450.79
2023-11-20,174.87175782326673,43.60357859269146,61.2857,454.26
2023-11-21,172.93062126022906,42.84927195050829,61.1714,453.27
2023-11-22,172.61840764166678,42.31233792685917,65.0571,455.02
2023-11-23,170.09331519717156,42.133498413778426,66.8,455.02
2023-11-24,165.82709404509905,42.50128244377523,66.8571,455.3
2023-11-25,159.5210360428104,43.339128959764366,66.8571,455.3
2023-11-26,160.44802534361872,44.312993514094096,66.8571,455.3
2023-11-27,158.58147410816073,45.18593960870464,65.3143,454.48
2023-11-28,159.33622099382396,45.59581990537628,65.0857,454.93
2023-11-29,160.205047646273,45.58240890581932,63.2857,454.61
2023-11-30,160.73959301626402,45.03261437640363,64.3714,456.4
2023-12-01,160.78353828735698,44.71340015448544,64.5143,459.1
2023-12-02,161.4563874016126,44.54731868015251,64.5143,459.1
2023-12-03,162.97563947240988,44.80761179629961,64.5143,459.1
2023-12-04,164.17738709293738,45.302664006771906,63.7143,456.69
2023-12-05,165.39966148163398,45.820233344533946,65.1429,456.6
2023-12-06,165.19306562563892,46.08387182953584,63.9714,454.76
2023-12-07,164.7084915108001,46.14418999515543,66.1429,458.23
2023-12-08,165.12906446319658,45.92375949813071,65.9429,460.2
2023-12-09,165.66275055804437,45.52775137665392,65.9429,460.2
2023-12-10,165.92449977426435,45.28616319852066,65.9429,460.2
2023-12-11,167.77211641780784,45.15042384867779,67.2857,461.99
2023-12-12,168.55508199875942,45.11331509069618,67.8857,464.1
2023-12-13,167.59708786916758,44.836874981030306,67.5429,470.5
2023-12-14,167.16813093340875,44.553720160287824,70.5429,472.01
2023-12-15,167.99602395872392,44.246329209345575,80.0,469.33
2023-12-16,165.37637256577813,43.592632568338466,80.0,469.33
2023-12-17,160.8541782393557,42.75822538742474,80.0,469.33
2023-12-18,156.2020377855409,41.96798866392067,77.5714,471.97
2023-12-19,156.63479224447232,41.33985933398834,77.2857,474.84
2023-12-20,155.21036398008823,40.77809900296191,71.2571,468.26
2023-12-21,157.44198029691387,40.54203629372712,76.9429,472.7
2023-12-22,163.4359145145148,40.30449064806663,78.4571,473.65
2023-12-23,169.73620568286782,40.3455055005759,78.4571,473.65
2023-12-24,170.73494696933022,40.222339945047445,78.4571,473.65
2023-12-25,172.16383692070949,40.10804512405477,78.4571,473.65
2023-12-26,175.93187090635803,40.241185499704066,80.0286,475.65
2023-12-27,178.2817785385126,40.48888960274813,76.6857,476.51
2023-12-28,179.02140172548977,40.59463863058293,78.2571,476.69
2023-12-29,180.42110835408562,40.97622931779733,75.9143,475.31
2023-12-30,182.98912037612874,41.13546107789953,75.9143,475.31
2023-12-31,181.2518876048553,41.175040227775675,75.9143,475.31
2024-01-01,180.40180195023646,41.20237912373291,75.9143,475.31
2024-01-02,180.6947376553662,41.25119600428924,77.0857,472.65
2024-01-03,180.2546313921959,41.20508860372284,75.2857,468.79
2024-01-04,180.96332535054458,41.39750882157085,73.2,467.28
2024-01-05,182.42802997517884,41.31397004629044,70.8286,467.92
2024-01-06,182.0832288111462,41.578486177605996,70.8286,467.92
2024-01-07,181.88390988357793,41.75312155266173,70.8286,467.92
2024-01-08,181.899129310653,41.726081215438725,61.3714,474.6
2024-01-09,183.78281690564222,41.18558039070604,71.5714,473.88
2024-01-10,182.521030430485,40.48045258116288,74.3714,476.56
2024-01-11,182.75372470181392,39.27546852279602,71.4571,476.35
2024-01-12,183.59106568125895,38.09156626101149,71.1143,476.68
2024-01-13,184.83876720935342,37.13348532936614,71.1143,476.68
2024-01-14,182.8315262383208,37.19653657076832,71.1143,476.68
2024-01-15,183.50524055648626,37.49678804457208,71.1143,476.68
2024-01-16,186.62585316849686,38.336712000674105,63.2555,474.93
2024-01-17,187.19932253057502,39.030480323179,57.6353,472.29
